company,ticker,cik,gics_sector,form,file_date,period_ending,accession_number,file_id,file_type,filing_index_url,doc_url,classification,matched_snippet,exclusion_reason
NextEra Energy,NEE,753308,Utilities,8-K,2025-08-20,2025-08-20,0000753308-25-000047,0000753308-25-000047:exhibit99tonee-fpl8xkdated.htm,EX-99,https://www.sec.gov/Archives/edgar/data/753308/000075330825000047/0000753308-25-000047-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330825000047/exhibit99tonee-fpl8xkdated.htm,utility_only,"d of fpl&#8217;s 2027 mfrs filed with the 2025 rate petition, and in the respective amounts and manner shown on exhibit a, attached hereto. (c)&#160;&#160;&#160;&#160;attached hereto as exhibit b are tariff sheets for new base rates and service charges that reflect the terms of this agreement and implement the rate increase described in paragraph 4(a) above, which tariff sheets shall become effective on",
NiSource,NI,1111711,Utilities,10-Q,2026-05-06,2026-03-31,0001111711-26-000045,0001111711-26-000045:nix-20260331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1111711/000111171126000045/0001111711-26-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171126000045/nix-20260331.htm,utility_only,"directed, nipsco continued to make r.m. schahfer available in the miso market. following receipt of the initial emergency order, nipsco filed a complaint with ferc seeking a modification of the miso tariff to establish a mechanism for recovery and allocation of the cost to comply with this order. in march 2026, ferc ordered miso to make a compliance filing with tariff language for nipsco recovery and a",
NiSource,NI,1111711,Utilities,10-K,2026-02-11,2025-12-31,0001111711-26-000027,0001111711-26-000027:nix-20251231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1111711/000111171126000027/0001111711-26-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171126000027/nix-20251231.htm,utility_only,"rights and ancillary markets. nipsco has transferred functional control of its electric transmission assets to miso, and transmission service for nipsco occurs under the miso open access transmission tariff. nipsco generating units are dispatched by miso which takes into account economics, reliability of the miso system and unit availability. during the year ended december&#160;31, 2025, nipsco generati",
NiSource,NI,1111711,Utilities,10-K,2025-02-12,2024-12-31,0001111711-25-000008,0001111711-25-000008:nix-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1111711/000111171125000008/0001111711-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171125000008/nix-20241231.htm,utility_only,"rights and ancillary markets. nipsco has transferred functional control of its electric transmission assets to miso, and transmission service for nipsco occurs under the miso open access transmission tariff. nipsco generating units are dispatched by miso which takes into account economics, reliability of the miso system and unit availability. during the year ended december&#160;31, 2024, nipsco generati",
NiSource,NI,1111711,Utilities,10-Q,2025-10-29,2025-09-30,0001111711-25-000055,0001111711-25-000055:ni-ex102x20250930.htm,EX-10.2,https://www.sec.gov/Archives/edgar/data/1111711/000111171125000055/0001111711-25-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171125000055/ni-ex102x20250930.htm,utility_only,"support such assets (including working capital) and (ii) assets approved by the iurc for recovery through a &#8220;special contract&#8221; entered into by nipsco or similar arrangement (including any tariff). &#8220; rate base amount &#8221; means an amount equal to the net utility plant of the company and its subsidiaries, taken as a whole as determined based on the most recently filed ferc form 1s for",
NRG Energy,NRG,1013871,Utilities,8-K,2025-05-16,2025-05-12,0001104659-25-049673,0001104659-25-049673:tm2514561d2_ex2-1.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/1013871/000110465925049673/0001104659-25-049673-index.htm,https://www.sec.gov/Archives/edgar/data/1013871/000110465925049673/tm2514561d2_ex2-1.htm,utility_only,erc section&nbsp;203 approval and (b)&nbsp;waiver by ferc or the expiration of the ninety (90) day period from the filing of all reactive power informational filings required by schedule 2 to the pjm tariff. &nbsp; &ldquo; ferc section&nbsp;203 approval &rdquo; means the approval of ferc under section&nbsp;203 of the fpa of the transactions contemplated in this agreement. &nbsp; &ldquo; financing &rdquo,
NRG Energy,NRG,1013871,Utilities,10-Q,2025-05-12,2025-03-31,0001013871-25-000013,0001013871-25-000013:nrg-20250331.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1013871/000101387125000013/0001013871-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1013871/000101387125000013/nrg-20250331.htm,utility_only,"pdates to the non-performance charge based on the rto net cone for the 2026/2027 and 2027/2028 delivery years. on february 14, 2025, ferc approved pjm&#8217;s filings. on december 13, 2024, pjm filed tariff changes to add provisions enabling a one-time reliability-based expansion of the eligibility criteria for pjm&#8217;s interconnection process intended to allow a limited number of additional resource",
NRG Energy,NRG,1013871,Utilities,10-Q,2025-08-06,2025-06-30,0001013871-25-000020,0001013871-25-000020:nrg-20250630.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1013871/000101387125000020/0001013871-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1013871/000101387125000020/nrg-20250630.htm,utility_only,"pdates to the non-performance charge based on the rto net cone for the 2026/2027 and 2027/2028 delivery years. on february 14, 2025, ferc approved pjm&#8217;s filings. on december 13, 2024, pjm filed tariff changes to add provisions enabling a one-time reliability-based expansion of the eligibility criteria for pjm&#8217;s interconnection process intended to allow a limited number of additional resource",
Occidental Petroleum,OXY,797468,Energy,8-K,2025-10-03,2025-10-01,0001140361-25-037234,0001140361-25-037234:ef20056633_ex2-1.htm,EX-2.1,https://www.sec.gov/Archives/edgar/data/797468/000114036125037234/0001140361-25-037234-index.htm,https://www.sec.gov/Archives/edgar/data/797468/000114036125037234/ef20056633_ex2-1.htm,utility_only,"mbr authority &#8221; means authorization by ferc pursuant to section 205 of the fpa to sell electric energy, capacity and/or certain ancillary services at market-based rates, acceptance by ferc of a tariff providing for any such sales, and approval by ferc of such regulatory waivers and blanket authorizations as are customarily granted by ferc to &#8220;persons,&#8221; as defined in the fpa, authorized",
Oneok,OKE,1039684,Energy,10-K,2025-02-25,2024-12-31,0001039684-25-000036,0001039684-25-000036:oke-20241231.htm,10-K,https://www.sec.gov/Archives/edgar/data/1039684/000103968425000036/0001039684-25-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1039684/000103968425000036/oke-20241231.htm,utility_only,"ces and our business activities are categorized as follows: &#8226; transportation services - our regulated natural gas transportation services contracts are based upon rates stated in the respective tariffs, which have generally been established through shipper specific negotiation, discounts and negotiated settlements. the rates are filed with ferc or the appropriate state jurisdictional agencies. in",
PPL Corporation,PPL,922224,Utilities,8-K,2026-03-13,2026-03-13,0000922224-26-000020,0000922224-26-000020:ppl-20260313.htm,8-K,https://www.sec.gov/Archives/edgar/data/922224/000092222426000020/0000922224-26-000020-index.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222426000020/ppl-20260313.htm,utility_only,"tforms. the total cost of these projects is approximately $54 million, inclusive of allowance for funds used during construction (""afudc"") through the fully projected future test year. new large load tariff with support for residential low-income program the settlement establishes a structured framework for serving large load customers (including data centers) that would support economic development whi",
PPL Corporation,PPL,922224,Utilities,8-K,2026-03-24,2026-03-19,0000922224-26-000022,0000922224-26-000022:ppl-20260319.htm,8-K,https://www.sec.gov/Archives/edgar/data/922224/000092222426000022/0000922224-26-000022-index.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222426000022/ppl-20260319.htm,utility_only,"nts commencing with coakley v. bangor hydro-elec. co., el11-66-001, et al. (the ""order"") regarding the return on equity (""roe"") for new england transmission owners (""netos"") under the iso new england tariff. pursuant to the order, the ferc adopted a new methodology for determining roe and set netos' base roe at 9.57%, with a maximum including incentives not to exceed 12.09%, retroactive to october 16, 2",
